2025-01-15|09:00:00|Salary deposit|Year Up United|3500.00
2025-03-08|14:30:00|Grocery shopping|Walmart|-110.00
2025-06-22|11:00:00|Freelance payment|Fiverr|800.00
2025-09-14|16:00:00|Car repair|AutoZone|-320.00
2025-11-28|13:00:00|Black Friday shopping|Amazon|-430.00
2025-12-31|09:00:00|Year end bonus|Year Up United|5000.00
2026-01-10|09:00:00|Salary deposit|Year Up United|3500.00
2026-02-14|19:30:00|Valentines dinner|Cheesecake Factory|-120.00
2026-03-05|10:00:00|Gym membership|Planet Fitness|-40.00
2026-03-22|15:45:00|Online shopping|Amazon|-175.00
2026-04-24|12:12:23|from my gma|gma|1000.0
